,id,title,year,duration,certificate,genre1,genre2,genre3,rate_IMGB,rate_meta,votes,grosses(US),budget,wwGross,month
0,1.0,Star Wars: Episode VII - The Force Awakens,2015.0,138.0,PG-13,Action,Adventure,Sci-Fi,7.8,80.0,930990.0,936662225.0,,,
1,2.0,Avengers: Endgame,2019.0,181.0,PG-13,Action,Adventure,Drama,8.4,78.0,1126110.0,858373000.0,400000000,2797732053,4
2,3.0,Spider-Man: No Way Home,2021.0,148.0,PG-13,Action,Adventure,Fantasy,8.3,71.0,750804.0,804747988.0,200000000,1910041582,12
3,4.0,Avatar,2009.0,162.0,PG-13,Action,Adventure,Fantasy,7.8,83.0,1264399.0,760507625.0,237000000,2899384102,12
4,5.0,Black Panther,2018.0,134.0,PG-13,Action,Adventure,Sci-Fi,7.3,88.0,771756.0,700059566.0,200000000,1336494320,2
5,6.0,Avengers: Infinity War,2018.0,149.0,PG-13,Action,Adventure,Sci-Fi,8.4,68.0,1077139.0,678815482.0,300000000,2048359754,4
6,7.0,Titanic,1997.0,194.0,PG-13,Drama,Romance,0,7.9,75.0,1172350.0,659325379.0,200000000,2207986545,12
7,8.0,Jurassic World,2015.0,124.0,PG-13,Action,Adventure,Sci-Fi,6.9,59.0,644167.0,652270625.0,215000000,1669963641,6
8,9.0,The Avengers,2012.0,143.0,PG-13,Action,Adventure,Sci-Fi,8.0,69.0,1390130.0,623279547.0,60000000,48585416,8
9,10.0,Star Wars: Episode VIII - The Last Jedi,2017.0,152.0,PG-13,Action,Adventure,Fantasy,6.9,84.0,632581.0,620181382.0,,,
10,11.0,Incredibles 2,2018.0,118.0,PG,Animation,Action,Adventure,7.6,80.0,298348.0,608581744.0,200000000,1242805359,6
11,12.0,The Lion King,2019.0,118.0,PG,Animation,Adventure,Drama,6.8,55.0,246212.0,543638043.0,79300000,986193783,6
12,13.0,The Dark Knight,2008.0,152.0,PG-13,Action,Crime,Drama,9.0,84.0,2645624.0,534858444.0,185000000,998615789,7
13,14.0,Rogue One: A Star Wars Story,2016.0,133.0,PG-13,Action,Adventure,Sci-Fi,7.8,65.0,638920.0,532177324.0,200000000,1055083596,12
14,15.0,Star Wars: Episode IX - The Rise of Skywalker,2019.0,141.0,PG-13,Action,Adventure,Fantasy,6.5,53.0,451792.0,515202542.0,,,
15,16.0,Beauty and the Beast,2017.0,129.0,PG,Adventure,Family,Fantasy,7.1,65.0,310810.0,504014165.0,20000000,438656843,11
16,17.0,Finding Dory,2016.0,97.0,PG,Animation,Adventure,Comedy,7.3,77.0,277933.0,486295561.0,200000000,1025006125,6
17,18.0,Frozen II,2019.0,103.0,PG,Animation,Adventure,Comedy,6.8,64.0,173848.0,477373578.0,150000000,1444735491,11
